Protein_ID,Protein_Name,Gene_Symbol
Q9Y6M4,Casein kinase I isoform gamma-3 OS=Homo sapiens GN=CSNK1G3 PE=1 SV=2,CSNK1G3
H0Y579,UV excision repair protein RAD23 homolog B (Fragment) OS=Homo sapiens GN=RAD23B PE=1 SV=1,RAD23B
P81605,Dermcidin OS=Homo sapiens GN=DCD PE=1 SV=2,DCD
E9PH58,Tubulin polyglutamylase TTLL4 OS=Homo sapiens GN=TTLL4 PE=1 SV=1,TTLL4
Q4G104,F-box only protein 21 OS=Homo sapiens GN=FBXO21 PE=1 SV=1,FBXO21
C9JRZ6,MICOS complex subunit MIC19 OS=Homo sapiens GN=CHCHD3 PE=1 SV=1,CHCHD3
E9PK25,Cofilin-1 OS=Homo sapiens GN=CFL1 PE=1 SV=1,CFL1
A0A087X2I6,"Keratin, type I cuticular Ha3-II OS=Homo sapiens GN=KRT33B PE=1 SV=1",KRT33B
O60244,Mediator of RNA polymerase II transcription subunit 14 OS=Homo sapiens GN=MED14 PE=1 SV=2,MED14
J3KNA1,Kinesin-like protein OS=Homo sapiens GN=KIF5A PE=1 SV=1,KIF5A
Q96J02,E3 ubiquitin-protein ligase Itchy homolog OS=Homo sapiens GN=ITCH PE=1 SV=2,ITCH
H0YEL7,"Acetyl-CoA acetyltransferase, mitochondrial (Fragment) OS=Homo sapiens GN=ACAT1 PE=1 SV=1",ACAT1
P06753,Tropomyosin alpha-3 chain OS=Homo sapiens GN=TPM3 PE=1 SV=2,TPM3
P40937,Replication factor C subunit 5 OS=Homo sapiens GN=RFC5 PE=1 SV=1,RFC5
P09211,Glutathione S-transferase P OS=Homo sapiens GN=GSTP1 PE=1 SV=2,GSTP1
Q6NUP7,Serine/threonine-protein phosphatase 4 regulatory subunit 4 OS=Homo sapiens GN=PPP4R4 PE=1 SV=1,PPP4R4
I3L1K6,Myosin light chain 4 (Fragment) OS=Homo sapiens GN=MYL4 PE=1 SV=1,MYL4
P51149,Ras-related protein Rab-7a OS=Homo sapiens GN=RAB7A PE=1 SV=1,RAB7A
P10515,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Homo sapiens GN=DLAT PE=1 SV=3",DLAT
G3XAL9,"Solute carrier family 12 (Sodium/potassium/chloride transporters), member 2, isoform CRA_a OS=Homo sapiens GN=SLC12A2 PE=1 SV=1",SLC12A2
Q12906,Interleukin enhancer-binding factor 3 OS=Homo sapiens GN=ILF3 PE=1 SV=3,ILF3
Q9UDR5,"Alpha-aminoadipic semialdehyde synthase, mitochondrial OS=Homo sapiens GN=AASS PE=1 SV=1",AASS
P23526,Adenosylhomocysteinase OS=Homo sapiens GN=AHCY PE=1 SV=4,AHCY
C9JEH7,"40S ribosomal protein S4, Y isoform 1 (Fragment) OS=Homo sapiens GN=RPS4Y1 PE=1 SV=1",RPS4Y1
P84085,ADP-ribosylation factor 5 OS=Homo sapiens GN=ARF5 PE=1 SV=2,ARF5
Q12955,Ankyrin-3 OS=Homo sapiens GN=ANK3 PE=1 SV=3,ANK3
J3KPP4,"Cisplatin resistance-associated overexpressed protein, isoform CRA_b OS=Homo sapiens GN=LUC7L3 PE=1 SV=1",LUC7L3
P19338,Nucleolin OS=Homo sapiens GN=NCL PE=1 SV=3,NCL
P46934,E3 ubiquitin-protein ligase NEDD4 OS=Homo sapiens GN=NEDD4 PE=1 SV=4,NEDD4
A0A0J9YXV3,Uncharacterized protein OS=Homo sapiens PE=4 SV=1,4
A0A075B7C0,Calpain small subunit 1 (Fragment) OS=Homo sapiens GN=CAPNS1 PE=1 SV=1,CAPNS1
P53992,Protein transport protein Sec24C OS=Homo sapiens GN=SEC24C PE=1 SV=3,SEC24C
B0I1T2,Unconventional myosin-Ig OS=Homo sapiens GN=MYO1G PE=1 SV=2,MYO1G
P62244,40S ribosomal protein S15a OS=Homo sapiens GN=RPS15A PE=1 SV=2,RPS15A
Q96PU4,E3 ubiquitin-protein ligase UHRF2 OS=Homo sapiens GN=UHRF2 PE=1 SV=1,UHRF2
H3BSG2,Cadherin-16 OS=Homo sapiens GN=CDH16 PE=1 SV=1,CDH16
Q6NZI2,Polymerase I and transcript release factor OS=Homo sapiens GN=PTRF PE=1 SV=1,PTRF
P00450,Ceruloplasmin OS=Homo sapiens GN=CP PE=1 SV=1,CP
J3KNC2,N-alpha-acetyltransferase 30 (Fragment) OS=Homo sapiens GN=NAA30 PE=1 SV=1,NAA30
Q9H1K0,Rabenosyn-5 OS=Homo sapiens GN=RBSN PE=1 SV=2,RBSN
H0YE28,Selenoprotein H (Fragment) OS=Homo sapiens GN=C11orf31 PE=1 SV=1,C11orf31
Q9P287,BRCA2 and CDKN1A-interacting protein OS=Homo sapiens GN=BCCIP PE=1 SV=1,BCCIP
Q9ULR0,Pre-mRNA-splicing factor ISY1 homolog OS=Homo sapiens GN=ISY1 PE=1 SV=3,ISY1
Q06323,Proteasome activator complex subunit 1 OS=Homo sapiens GN=PSME1 PE=1 SV=1,PSME1
P35221,Catenin alpha-1 OS=Homo sapiens GN=CTNNA1 PE=1 SV=1,CTNNA1
O15085,Rho guanine nucleotide exchange factor 11 OS=Homo sapiens GN=ARHGEF11 PE=1 SV=1,ARHGEF11
A0A087X1S2,Nuclease-sensitive element-binding protein 1 OS=Homo sapiens GN=YBX1 PE=1 SV=2,YBX1
P27797,Calreticulin OS=Homo sapiens GN=CALR PE=1 SV=1,CALR
Q9HBL0,Tensin-1 OS=Homo sapiens GN=TNS1 PE=1 SV=2,TNS1
O00232,26S proteasome non-ATPase regulatory subunit 12 OS=Homo sapiens GN=PSMD12 PE=1 SV=3,PSMD12
Q9NVP1,ATP-dependent RNA helicase DDX18 OS=Homo sapiens GN=DDX18 PE=1 SV=2,DDX18
A0A075B715,Meiotic recombination protein REC8 homolog (Fragment) OS=Homo sapiens GN=REC8 PE=1 SV=1,REC8
P17661,Desmin OS=Homo sapiens GN=DES PE=1 SV=3,DES
H7C1M2,Protein SON (Fragment) OS=Homo sapiens GN=SON PE=1 SV=1,SON
Q9Y6N5,"Sulfide:quinone oxidoreductase, mitochondrial OS=Homo sapiens GN=SQRDL PE=1 SV=1",SQRDL
P12104,"Fatty acid-binding protein, intestinal OS=Homo sapiens GN=FABP2 PE=1 SV=2",FABP2
Q68CK6,"Acyl-coenzyme A synthetase ACSM2B, mitochondrial OS=Homo sapiens GN=ACSM2B PE=1 SV=2",ACSM2B
Q14117,Dihydropyrimidinase OS=Homo sapiens GN=DPYS PE=1 SV=1,DPYS
C9J9C1,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform (Fragment) OS=Homo sapiens GN=PPP2R1A PE=1 SV=2,PPP2R1A
P35749,Myosin-11 OS=Homo sapiens GN=MYH11 PE=1 SV=3,MYH11
Q9P2E9,Ribosome-binding protein 1 OS=Homo sapiens GN=RRBP1 PE=1 SV=1,RRBP1
P41247,Patatin-like phospholipase domain-containing protein 4 OS=Homo sapiens GN=PNPLA4 PE=2 SV=3,PNPLA4
Q07021,"Complement component 1 Q subcomponent-binding protein, mitochondrial OS=Homo sapiens GN=C1QBP PE=1 SV=1",C1QBP
Q96BP2,Coiled-coil-helix-coiled-coil-helix domain-containing protein 1 OS=Homo sapiens GN=CHCHD1 PE=1 SV=1,CHCHD1
P01877,Ig alpha-2 chain C region (Fragment) OS=Homo sapiens GN=IGHA2 PE=1 SV=1,IGHA2
Q92879,CUGBP Elav-like family member 1 OS=Homo sapiens GN=CELF1 PE=1 SV=2,CELF1
Q9NTI5,Sister chromatid cohesion protein PDS5 homolog B OS=Homo sapiens GN=PDS5B PE=1 SV=1,PDS5B
A0A0G2JH68,Protein diaphanous homolog 1 OS=Homo sapiens GN=DIAPH1 PE=1 SV=1,DIAPH1
P19367,Hexokinase-1 OS=Homo sapiens GN=HK1 PE=1 SV=3,HK1
A0A087WXF6,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Homo sapiens GN=NDUFS7 PE=1 SV=1",NDUFS7
Q15773,Myeloid leukemia factor 2 OS=Homo sapiens GN=MLF2 PE=1 SV=1,MLF2
Q9NUI1,"Peroxisomal 2,4-dienoyl-CoA reductase OS=Homo sapiens GN=DECR2 PE=1 SV=1",DECR2
Q86YH6,Decaprenyl-diphosphate synthase subunit 2 OS=Homo sapiens GN=PDSS2 PE=1 SV=2,PDSS2
D6R968,NEDD4-binding protein 2-like 2 (Fragment) OS=Homo sapiens GN=N4BP2L2 PE=1 SV=1,N4BP2L2
P23946,Chymase OS=Homo sapiens GN=CMA1 PE=1 SV=1,CMA1
Q14690,Protein RRP5 homolog OS=Homo sapiens GN=PDCD11 PE=1 SV=3,PDCD11
O00299,Chloride intracellular channel protein 1 OS=Homo sapiens GN=CLIC1 PE=1 SV=4,CLIC1
P14868,"Aspartate--tRNA ligase, cytoplasmic OS=Homo sapiens GN=DARS PE=1 SV=2",DARS
P26641,Elongation factor 1-gamma OS=Homo sapiens GN=EEF1G PE=1 SV=3,EEF1G
Q9UIJ7,"GTP:AMP phosphotransferase AK3, mitochondrial OS=Homo sapiens GN=AK3 PE=1 SV=4",AK3
Q9UBW7,Zinc finger MYM-type protein 2 OS=Homo sapiens GN=ZMYM2 PE=1 SV=1,ZMYM2
Q86VP6,Cullin-associated NEDD8-dissociated protein 1 OS=Homo sapiens GN=CAND1 PE=1 SV=2,CAND1
O14976,Cyclin-G-associated kinase OS=Homo sapiens GN=GAK PE=1 SV=2,GAK
P08571,Monocyte differentiation antigen CD14 OS=Homo sapiens GN=CD14 PE=1 SV=2,CD14
Q96I24,Far upstream element-binding protein 3 OS=Homo sapiens GN=FUBP3 PE=1 SV=2,FUBP3
Q96C23,Aldose 1-epimerase OS=Homo sapiens GN=GALM PE=1 SV=1,GALM
P50914,60S ribosomal protein L14 OS=Homo sapiens GN=RPL14 PE=1 SV=4,RPL14
Q5VV41,Rho guanine nucleotide exchange factor 16 OS=Homo sapiens GN=ARHGEF16 PE=1 SV=1,ARHGEF16
Q8WVN6,Secreted and transmembrane protein 1 OS=Homo sapiens GN=SECTM1 PE=1 SV=2,SECTM1
P48681,Nestin OS=Homo sapiens GN=NES PE=1 SV=2,NES
P51991,Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens GN=HNRNPA3 PE=1 SV=2,HNRNPA3
Q6UX06,Olfactomedin-4 OS=Homo sapiens GN=OLFM4 PE=1 SV=1,OLFM4
J3QSS1,Solute carrier family 12 member 3 OS=Homo sapiens GN=SLC12A3 PE=1 SV=1,SLC12A3
A0A087WU70,Carbohydrate sulfotransferase 13 OS=Homo sapiens GN=CHST13 PE=1 SV=1,CHST13
F6T1Q0,"2',5'-phosphodiesterase 12 OS=Homo sapiens GN=PDE12 PE=1 SV=1",PDE12
Q9H9E1,Ankyrin repeat family A protein 2 OS=Homo sapiens GN=ANKRA2 PE=1 SV=1,ANKRA2
P08582,Melanotransferrin OS=Homo sapiens GN=MFI2 PE=1 SV=2,MFI2
Q6P996,Pyridoxal-dependent decarboxylase domain-containing protein 1 OS=Homo sapiens GN=PDXDC1 PE=1 SV=2,PDXDC1
O95747,Serine/threonine-protein kinase OSR1 OS=Homo sapiens GN=OXSR1 PE=1 SV=1,OXSR1
Q9ULA0,Aspartyl aminopeptidase OS=Homo sapiens GN=DNPEP PE=1 SV=1,DNPEP
P35637,RNA-binding protein FUS OS=Homo sapiens GN=FUS PE=1 SV=1,FUS
H0Y9Y3,Synaptopodin-2 (Fragment) OS=Homo sapiens GN=SYNPO2 PE=1 SV=1,SYNPO2
Q6P1L5,Protein FAM117B OS=Homo sapiens GN=FAM117B PE=1 SV=2,FAM117B
P01833,Polymeric immunoglobulin receptor OS=Homo sapiens GN=PIGR PE=1 SV=4,PIGR
Q9NZ01,Very-long-chain enoyl-CoA reductase OS=Homo sapiens GN=TECR PE=1 SV=1,TECR
O43301,Heat shock 70 kDa protein 12A OS=Homo sapiens GN=HSPA12A PE=1 SV=2,HSPA12A
Q07973,"1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial OS=Homo sapiens GN=CYP24A1 PE=1 SV=2",CYP24A1
A0A0C4DG17,40S ribosomal protein SA OS=Homo sapiens GN=RPSA PE=1 SV=1,RPSA
Q9BRA2,Thioredoxin domain-containing protein 17 OS=Homo sapiens GN=TXNDC17 PE=1 SV=1,TXNDC17
V9GYU9,Alpha-methylacyl-CoA racemase OS=Homo sapiens GN=AMACR PE=1 SV=1,AMACR
K7ELS8,Synaptogyrin-2 (Fragment) OS=Homo sapiens GN=SYNGR2 PE=1 SV=1,SYNGR2
P60953,Cell division control protein 42 homolog OS=Homo sapiens GN=CDC42 PE=1 SV=2,CDC42
P60866,40S ribosomal protein S20 OS=Homo sapiens GN=RPS20 PE=1 SV=1,RPS20
Q9UN37,Vacuolar protein sorting-associated protein 4A OS=Homo sapiens GN=VPS4A PE=1 SV=1,VPS4A
P25789,Proteasome subunit alpha type-4 OS=Homo sapiens GN=PSMA4 PE=1 SV=1,PSMA4
P62701,"40S ribosomal protein S4, X isoform OS=Homo sapiens GN=RPS4X PE=1 SV=2",RPS4X
Q6ZU65,Ubinuclein-2 OS=Homo sapiens GN=UBN2 PE=1 SV=2,UBN2
O94874,E3 UFM1-protein ligase 1 OS=Homo sapiens GN=UFL1 PE=1 SV=2,UFL1
P08238,Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4,HSP90AB1
P09874,Poly [ADP-ribose] polymerase 1 OS=Homo sapiens GN=PARP1 PE=1 SV=4,PARP1
P62917,60S ribosomal protein L8 OS=Homo sapiens GN=RPL8 PE=1 SV=2,RPL8
Q9Y2S2,Lambda-crystallin homolog OS=Homo sapiens GN=CRYL1 PE=1 SV=3,CRYL1
Q9P2Q2,FERM domain-containing protein 4A OS=Homo sapiens GN=FRMD4A PE=1 SV=3,FRMD4A
C9JNZ1,UTP--glucose-1-phosphate uridylyltransferase (Fragment) OS=Homo sapiens GN=UGP2 PE=1 SV=6,UGP2
P06730,Eukaryotic translation initiation factor 4E OS=Homo sapiens GN=EIF4E PE=1 SV=2,EIF4E
H3BND9,Poly(rC)-binding protein 2 (Fragment) OS=Homo sapiens GN=PCBP2 PE=1 SV=1,PCBP2
Q9BW92,"Threonine--tRNA ligase, mitochondrial OS=Homo sapiens GN=TARS2 PE=1 SV=1",TARS2
P21399,Cytoplasmic aconitate hydratase OS=Homo sapiens GN=ACO1 PE=1 SV=3,ACO1
P35558,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP] OS=Homo sapiens GN=PCK1 PE=1 SV=3",PCK1
A0A5E8,GAS2-like protein 1 OS=Homo sapiens GN=GAS2L1 PE=1 SV=1,GAS2L1
P49750,YLP motif-containing protein 1 OS=Homo sapiens GN=YLPM1 PE=1 SV=3,YLPM1
O43175,D-3-phosphoglycerate dehydrogenase OS=Homo sapiens GN=PHGDH PE=1 SV=4,PHGDH
Q8N3R9,MAGUK p55 subfamily member 5 OS=Homo sapiens GN=MPP5 PE=1 SV=3,MPP5
Q9Y383,Putative RNA-binding protein Luc7-like 2 OS=Homo sapiens GN=LUC7L2 PE=1 SV=2,LUC7L2
Q01974,Tyrosine-protein kinase transmembrane receptor ROR2 OS=Homo sapiens GN=ROR2 PE=1 SV=2,ROR2
P03950,Angiogenin OS=Homo sapiens GN=ANG PE=1 SV=1,ANG
Q8IVS8,Glycerate kinase OS=Homo sapiens GN=GLYCTK PE=1 SV=1,GLYCTK
A0A087X1J7,Glutathione peroxidase OS=Homo sapiens GN=GPX3 PE=1 SV=1,GPX3
P51692,Signal transducer and activator of transcription 5B OS=Homo sapiens GN=STAT5B PE=1 SV=2,STAT5B
O14641,Segment polarity protein dishevelled homolog DVL-2 OS=Homo sapiens GN=DVL2 PE=1 SV=1,DVL2
Q9Y3Y2,Chromatin target of PRMT1 protein OS=Homo sapiens GN=CHTOP PE=1 SV=2,CHTOP
Q96HD9,N-acyl-aromatic-L-amino acid amidohydrolase (carboxylate-forming) OS=Homo sapiens GN=ACY3 PE=1 SV=1,ACY3
Q8WXF1,Paraspeckle component 1 OS=Homo sapiens GN=PSPC1 PE=1 SV=1,PSPC1
Q9Y5S9,RNA-binding protein 8A OS=Homo sapiens GN=RBM8A PE=1 SV=1,RBM8A
Q08AH3,"Acyl-coenzyme A synthetase ACSM2A, mitochondrial OS=Homo sapiens GN=ACSM2A PE=1 SV=2",ACSM2A
O75828,Carbonyl reductase [NADPH] 3 OS=Homo sapiens GN=CBR3 PE=1 SV=3,CBR3
J3KNB8,Mitogen-activated protein kinase kinase kinase 4 OS=Homo sapiens GN=MAP3K4 PE=1 SV=1,MAP3K4
Q02413,Desmoglein-1 OS=Homo sapiens GN=DSG1 PE=1 SV=2,DSG1
Q86SX6,"Glutaredoxin-related protein 5, mitochondrial OS=Homo sapiens GN=GLRX5 PE=1 SV=2",GLRX5
P32119,Peroxiredoxin-2 OS=Homo sapiens GN=PRDX2 PE=1 SV=5,PRDX2
P50120,Retinol-binding protein 2 OS=Homo sapiens GN=RBP2 PE=1 SV=3,RBP2
P68032,"Actin, alpha cardiac muscle 1 OS=Homo sapiens GN=ACTC1 PE=1 SV=1",ACTC1
P01591,Immunoglobulin J chain OS=Homo sapiens GN=JCHAIN PE=1 SV=4,JCHAIN
Q9BVM4,Gamma-glutamylaminecyclotransferase OS=Homo sapiens GN=GGACT PE=1 SV=2,GGACT
P98082,Disabled homolog 2 OS=Homo sapiens GN=DAB2 PE=1 SV=3,DAB2
P35579,Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4,MYH9
O75694,Nuclear pore complex protein Nup155 OS=Homo sapiens GN=NUP155 PE=1 SV=1,NUP155
P57772,Selenocysteine-specific elongation factor OS=Homo sapiens GN=EEFSEC PE=1 SV=4,EEFSEC
I3L1Q2,B-cell CLL/lymphoma 7 protein family member C (Fragment) OS=Homo sapiens GN=BCL7C PE=1 SV=1,BCL7C
O95154,Aflatoxin B1 aldehyde reductase member 3 OS=Homo sapiens GN=AKR7A3 PE=1 SV=2,AKR7A3
O95084,Serine protease 23 OS=Homo sapiens GN=PRSS23 PE=1 SV=1,PRSS23
H3BND3,Cleavage and polyadenylation-specificity factor subunit 5 (Fragment) OS=Homo sapiens GN=NUDT21 PE=1 SV=6,NUDT21
Q9H2G2,STE20-like serine/threonine-protein kinase OS=Homo sapiens GN=SLK PE=1 SV=1,SLK
Q01469,"Fatty acid-binding protein, epidermal OS=Homo sapiens GN=FABP5 PE=1 SV=3",FABP5
A4D1E9,GTP-binding protein 10 OS=Homo sapiens GN=GTPBP10 PE=1 SV=1,GTPBP10
Q04917,14-3-3 protein eta OS=Homo sapiens GN=YWHAH PE=1 SV=4,YWHAH
Q9NXF1,Testis-expressed sequence 10 protein OS=Homo sapiens GN=TEX10 PE=1 SV=2,TEX10
P31944,Caspase-14 OS=Homo sapiens GN=CASP14 PE=1 SV=2,CASP14
Q00796,Sorbitol dehydrogenase OS=Homo sapiens GN=SORD PE=1 SV=4,SORD
E9PIR5,AMP deaminase 3 OS=Homo sapiens GN=AMPD3 PE=1 SV=1,AMPD3
P51114,Fragile X mental retardation syndrome-related protein 1 OS=Homo sapiens GN=FXR1 PE=1 SV=3,FXR1
P01876,Ig alpha-1 chain C region OS=Homo sapiens GN=IGHA1 PE=1 SV=2,IGHA1
P07900,Heat shock protein HSP 90-alpha OS=Homo sapiens GN=HSP90AA1 PE=1 SV=5,HSP90AA1
Q14914,Prostaglandin reductase 1 OS=Homo sapiens GN=PTGR1 PE=1 SV=2,PTGR1
O00160,Unconventional myosin-If OS=Homo sapiens GN=MYO1F PE=1 SV=3,MYO1F
Q330K2,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 6 OS=Homo sapiens GN=NDUFAF6 PE=1 SV=2",NDUFAF6
A0A0A0MT26,Sodium/potassium-transporting ATPase subunit alpha-3 OS=Homo sapiens GN=ATP1A3 PE=1 SV=1,ATP1A3
O75223,Gamma-glutamylcyclotransferase OS=Homo sapiens GN=GGCT PE=1 SV=1,GGCT
A0A0J9YXB8,Prosaposin (Fragment) OS=Homo sapiens GN=PSAP PE=1 SV=1,PSAP
D6R956,Ubiquitin carboxyl-terminal hydrolase OS=Homo sapiens GN=UCHL1 PE=1 SV=1,UCHL1
Q01085,Nucleolysin TIAR OS=Homo sapiens GN=TIAL1 PE=1 SV=1,TIAL1
F5GYJ8,Ubiquitin thioesterase OTUB1 OS=Homo sapiens GN=OTUB1 PE=1 SV=1,OTUB1
P67775,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform OS=Homo sapiens GN=PPP2CA PE=1 SV=1,PPP2CA
H0Y818,DNA mismatch repair protein Mlh1 (Fragment) OS=Homo sapiens GN=MLH1 PE=1 SV=1,MLH1
Q15365,Poly(rC)-binding protein 1 OS=Homo sapiens GN=PCBP1 PE=1 SV=2,PCBP1
A0A0C4DG87,Gamma-glutamyltransferase light chain 2 OS=Homo sapiens GN=GGTLC2 PE=4 SV=1,GGTLC2
Q9UHQ9,NADH-cytochrome b5 reductase 1 OS=Homo sapiens GN=CYB5R1 PE=1 SV=1,CYB5R1
Q8NC56,LEM domain-containing protein 2 OS=Homo sapiens GN=LEMD2 PE=1 SV=1,LEMD2
Q9UGL1,Lysine-specific demethylase 5B OS=Homo sapiens GN=KDM5B PE=1 SV=3,KDM5B
P51649,"Succinate-semialdehyde dehydrogenase, mitochondrial OS=Homo sapiens GN=ALDH5A1 PE=1 SV=2",ALDH5A1
P51148,Ras-related protein Rab-5C OS=Homo sapiens GN=RAB5C PE=1 SV=2,RAB5C
O43361,Zinc finger protein 749 OS=Homo sapiens GN=ZNF749 PE=1 SV=2,ZNF749
P13639,Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4,EEF2
P20702,Integrin alpha-X OS=Homo sapiens GN=ITGAX PE=1 SV=3,ITGAX
Q4G176,"Acyl-CoA synthetase family member 3, mitochondrial OS=Homo sapiens GN=ACSF3 PE=1 SV=3",ACSF3
Q9H2D6,TRIO and F-actin-binding protein OS=Homo sapiens GN=TRIOBP PE=1 SV=3,TRIOBP
Q9Y4F1,"FERM, RhoGEF and pleckstrin domain-containing protein 1 OS=Homo sapiens GN=FARP1 PE=1 SV=1",FARP1
P30050,60S ribosomal protein L12 OS=Homo sapiens GN=RPL12 PE=1 SV=1,RPL12
Q9NVS9,Pyridoxine-5'-phosphate oxidase OS=Homo sapiens GN=PNPO PE=1 SV=1,PNPO
Q96AT1,Uncharacterized protein KIAA1143 OS=Homo sapiens GN=KIAA1143 PE=1 SV=2,KIAA1143
G3V1Q4,"Septin 7, isoform CRA_a OS=Homo sapiens GN=SEPT7 PE=1 SV=1",39326
E9PBG7,Calcium/calmodulin-dependent protein kinase type II subunit delta OS=Homo sapiens GN=CAMK2D PE=1 SV=1,CAMK2D
A0A087WX08,Gamma-adducin OS=Homo sapiens GN=ADD3 PE=1 SV=1,ADD3
O75420,PERQ amino acid-rich with GYF domain-containing protein 1 OS=Homo sapiens GN=GIGYF1 PE=1 SV=2,GIGYF1
A6NMB1,Sialic acid-binding Ig-like lectin 16 OS=Homo sapiens GN=SIGLEC16 PE=2 SV=3,SIGLEC16
P00966,Argininosuccinate synthase OS=Homo sapiens GN=ASS1 PE=1 SV=2,ASS1
Q14254,Flotillin-2 OS=Homo sapiens GN=FLOT2 PE=1 SV=2,FLOT2
M0R3F1,Heterogeneous nuclear ribonucleoprotein U-like protein 1 (Fragment) OS=Homo sapiens GN=HNRNPUL1 PE=1 SV=1,HNRNPUL1
A8MQB8,Fragile X mental retardation protein 1 OS=Homo sapiens GN=FMR1 PE=1 SV=1,FMR1
O75746,Calcium-binding mitochondrial carrier protein Aralar1 OS=Homo sapiens GN=SLC25A12 PE=1 SV=2,SLC25A12
A0A0D9SFK2,Unconventional myosin-XVIIIa OS=Homo sapiens GN=MYO18A PE=1 SV=1,MYO18A
O43678,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 OS=Homo sapiens GN=NDUFA2 PE=1 SV=3,NDUFA2
P35580,Myosin-10 OS=Homo sapiens GN=MYH10 PE=1 SV=3,MYH10
Q14568,Heat shock protein HSP 90-alpha A2 OS=Homo sapiens GN=HSP90AA2P PE=1 SV=2,HSP90AA2P
P28066,Proteasome subunit alpha type-5 OS=Homo sapiens GN=PSMA5 PE=1 SV=3,PSMA5
P17568,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7 OS=Homo sapiens GN=NDUFB7 PE=1 SV=4,NDUFB7
P11142,Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1,HSPA8
P29590,Protein PML OS=Homo sapiens GN=PML PE=1 SV=3,PML
Q14695,Uncharacterized protein KIAA0087 OS=Homo sapiens GN=KIAA0087 PE=2 SV=1,KIAA0087
P11277,"Spectrin beta chain, erythrocytic OS=Homo sapiens GN=SPTB PE=1 SV=5",SPTB
H0YIN9,"Keratin, type II cytoskeletal 5 (Fragment) OS=Homo sapiens GN=KRT5 PE=1 SV=1",KRT5
Q9BW27,Nuclear pore complex protein Nup85 OS=Homo sapiens GN=NUP85 PE=1 SV=1,NUP85
P47755,F-actin-capping protein subunit alpha-2 OS=Homo sapiens GN=CAPZA2 PE=1 SV=3,CAPZA2
A0A024R4M0,40S ribosomal protein S9 OS=Homo sapiens GN=RPS9 PE=1 SV=1,RPS9
P13645,"Keratin, type I cytoskeletal 10 OS=Homo sapiens GN=KRT10 PE=1 SV=6",KRT10
P49458,Signal recognition particle 9 kDa protein OS=Homo sapiens GN=SRP9 PE=1 SV=2,SRP9
G3V295,Proteasome subunit alpha type OS=Homo sapiens GN=PSMA6 PE=1 SV=1,PSMA6
P30085,UMP-CMP kinase OS=Homo sapiens GN=CMPK1 PE=1 SV=3,CMPK1
Q9NRP7,Serine/threonine-protein kinase 36 OS=Homo sapiens GN=STK36 PE=1 SV=2,STK36
P02533,"Keratin, type I cytoskeletal 14 OS=Homo sapiens GN=KRT14 PE=1 SV=4",KRT14
A0A087X2D5,"39S ribosomal protein L45, mitochondrial OS=Homo sapiens GN=MRPL45 PE=1 SV=1",MRPL45
Q96CM8,"Acyl-CoA synthetase family member 2, mitochondrial OS=Homo sapiens GN=ACSF2 PE=1 SV=2",ACSF2
P14678,Small nuclear ribonucleoprotein-associated proteins B and B' OS=Homo sapiens GN=SNRPB PE=1 SV=2,SNRPB
J3QRJ8,"Very long-chain-specific acyl-CoA dehydrogenase, mitochondrial (Fragment) OS=Homo sapiens GN=ACADVL PE=1 SV=1",ACADVL
Q9NWU1,"3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial OS=Homo sapiens GN=OXSM PE=1 SV=1",OXSM
Q9H5Q4,"Dimethyladenosine transferase 2, mitochondrial OS=Homo sapiens GN=TFB2M PE=1 SV=1",TFB2M
P63151,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform OS=Homo sapiens GN=PPP2R2A PE=1 SV=1,PPP2R2A
P50991,T-complex protein 1 subunit delta OS=Homo sapiens GN=CCT4 PE=1 SV=4,CCT4
P04217,Alpha-1B-glycoprotein OS=Homo sapiens GN=A1BG PE=1 SV=4,A1BG
Q8N1N4,"Keratin, type II cytoskeletal 78 OS=Homo sapiens GN=KRT78 PE=2 SV=2",KRT78
O14561,"Acyl carrier protein, mitochondrial OS=Homo sapiens GN=NDUFAB1 PE=1 SV=3",NDUFAB1
Q8WUM4,Programmed cell death 6-interacting protein OS=Homo sapiens GN=PDCD6IP PE=1 SV=1,PDCD6IP
G8JLH6,Tetraspanin (Fragment) OS=Homo sapiens GN=CD9 PE=1 SV=1,CD9
Q86U38,Nucleolar protein 9 OS=Homo sapiens GN=NOP9 PE=1 SV=1,NOP9
