Gene_Symbol,ESM2_Cluster,AE_Cluster,Matrisome_Category,Matrisome_Division,Protein_ID,Protein_Name,UMAP1_AE,UMAP2_AE,UMAP1_ESM2,UMAP2_ESM2
Lama5,-1,-1,ECM Glycoproteins,Core matrisome,Q61001,Laminin subunit alpha-5 (Laminin-10 subunit alpha) (Laminin-11 subunit alpha) (Laminin-15 subunit alpha),1.4289072,9.866383,2.2873862,2.2843223
Lamb1,-1,-1,ECM Glycoproteins,Core matrisome,P02469,Laminin subunit beta-1 (Laminin B1 chain) (Laminin-1 subunit beta) (Laminin-10 subunit beta) (Laminin-12 subunit beta) (Laminin-2 subunit beta) (Laminin-6 subunit beta) (Laminin-8 subunit beta),-1.8028396,6.6095896,3.739439,6.1250863
Lamb2,-1,-1,ECM Glycoproteins,Core matrisome,Q61292,Laminin subunit beta-2 (Laminin-11 subunit beta) (Laminin-14 subunit beta) (Laminin-15 subunit beta) (Laminin-3 subunit beta) (Laminin-4 subunit beta) (Laminin-7 subunit beta) (Laminin-9 subunit beta) (S-laminin subunit beta) (S-LAM beta),1.0184247,9.5208435,1.5572084,2.1586916
Lamc1,-1,-1,ECM Glycoproteins,Core matrisome,F8VQJ3,Laminin subunit gamma-1 (Laminin B2 chain) (Laminin-1 subunit gamma) (Laminin-10 subunit gamma) (Laminin-11 subunit gamma) (Laminin-2 subunit gamma) (Laminin-3 subunit gamma) (Laminin-4 subunit gamma) (Laminin-6 subunit gamma) (Laminin-7 subunit gamma) (Laminin-8 subunit gamma) (Laminin-9 subunit gamma) (S-laminin subunit gamma) (S-LAM gamma),0.97519135,9.928234,1.8257049,2.4117885
Lgals1,-1,-1,ECM-affiliated Proteins,Matrisome-associated,P16045,Galectin-1 (Gal-1) (14 kDa lectin) (Beta-galactoside-binding lectin L-14-I) (Galaptin) (Lactose-binding lectin 1) (Lectin galactoside-binding soluble 1) (S-Lac lectin 1),0.5552155,8.899762,0.44855908,2.2850225
Lgals3,-1,-1,ECM-affiliated Proteins,Matrisome-associated,P16110,Galectin-3 (Gal-3) (35 kDa lectin) (Carbohydrate-binding protein 35) (CBP 35) (Galactose-specific lectin 3) (IgE-binding protein) (L-34 galactoside-binding lectin) (Laminin-binding protein) (Lectin L-29) (Mac-2 antigen),9.122432,10.375255,-0.5143436,2.839362
Lgals8,-1,-1,ECM-affiliated Proteins,Matrisome-associated,Q9JL15,Galectin-8 (Gal-8) (LGALS-8),2.4423087,6.899448,0.61895436,5.0323687
Lgals9,-1,-1,ECM-affiliated Proteins,Matrisome-associated,O08573,Galectin-9 (Gal-9),2.4599416,7.3395443,1.2435586,5.2571173
Lgalsl,-1,-1,ECM-affiliated Proteins,Matrisome-associated,Q8VED9,Galectin-related protein (Galectin-related protein A) (Lectin galactoside-binding-like protein A),3.321191,8.786681,0.40089014,5.86174
Lgi1,-1,-1,ECM Glycoproteins,Core matrisome,Q9JIA1,,-1.1778282,6.101494,4.390272,5.7833905
Lgi2,-1,-1,ECM Glycoproteins,Core matrisome,Q8K4Z0-2,,-1.2709591,6.4688606,4.549648,6.499459
Lgi3,-1,-1,ECM Glycoproteins,Core matrisome,Q8K406,,2.3154895,9.711841,1.9748721,2.6693015
Lman1,7,8,ECM-affiliated Proteins,Matrisome-associated,Q9D0F3,Protein ERGIC-53 (ER-Golgi intermediate compartment 53 kDa protein) (Lectin mannose-binding 1) (p58),-0.39675206,6.1608753,2.2964928,6.4211016
Loxl1,9,11,ECM Regulators,Matrisome-associated,P97873,Lysyl oxidase homolog 1 (EC 1.4.3.-) (Lysyl oxidase 2) (Lysyl oxidase-like protein 1),3.4912517,9.801794,0.7968914,1.0739055
Loxl2,-1,-1,ECM Regulators,Matrisome-associated,P58022,Lysyl oxidase homolog 2 (EC 1.4.3.13) (Lysyl oxidase-like protein 2),2.2220201,7.096056,0.41109326,4.571732
Ltbp1,-1,-1,ECM Glycoproteins,Core matrisome,Q8CG19,Latent-transforming growth factor beta-binding protein 1 (LTBP-1) (Transforming growth factor beta-1-binding protein 1) (TGF-beta1-BP-1),6.567914,11.467006,0.22836998,4.462587
Ltbp2,-1,-1,ECM Glycoproteins,Core matrisome,O08999,Latent-transforming growth factor beta-binding protein 2 (LTBP-2),6.743434,11.032073,-0.08171237,4.0882225
Ltbp4,-1,-1,ECM Glycoproteins,Core matrisome,Q8K4G1,Latent-transforming growth factor beta-binding protein 4 (LTBP-4),2.3191931,7.3910856,1.4211884,5.0058856
Lum,-1,-1,Proteoglycans,Core matrisome,P51885,Lumican (Keratan sulfate proteoglycan lumican) (KSPG lumican),1.8287665,9.714734,2.0001476,2.7072275
M6pr,-1,-1,Secreted Factors,Matrisome-associated,P24668,Cation-dependent mannose-6-phosphate receptor (CD Man-6-P receptor) (CD-MPR) (46 kDa mannose 6-phosphate receptor) (MPR 46),-0.5473617,4.9507546,2.1328106,6.2679696
MASP1,-1,-1,ECM Regulators,Matrisome-associated,P48740,Mannan-binding lectin serine protease 1;Mannan-binding lectin serine protease 1 heavy chain;Mannan-binding lectin serine protease 1 light chain,6.917828,10.519597,-10.991948,2.1345935
MASP2,-1,-1,ECM Regulators,Matrisome-associated,O00187,Mannan-binding lectin serine protease 2;Mannan-binding lectin serine protease 2 A chain;Mannan-binding lectin serine protease 2 B chain,12.25922,6.1198945,-8.090358,3.0964844
MATN1,18,22,ECM Glycoproteins,Core matrisome,P21941,Cartilage matrix protein,8.476725,12.306441,-9.640872,-1.3518952
MATN2,-1,-1,ECM Glycoproteins,Core matrisome,O00339,Matrilin-2,11.339279,8.614753,-5.9747763,-0.55553335
MATN3,-1,-1,ECM Glycoproteins,Core matrisome,O15232,Matrilin-3,14.332331,9.545861,-5.7903028,-1.5123527
MATN4,2,1,ECM Glycoproteins,Core matrisome,O95460,Matrilin-4,14.816404,4.5750713,-4.2100153,7.955495
MBL1,-1,-1,ECM-affiliated Proteins,Matrisome-associated,P39039,Mannose-binding protein A,8.280383,11.536387,-0.9262312,3.4903822
MBL2,-1,-1,ECM-affiliated Proteins,Matrisome-associated,P11226,Mannose-binding protein C,11.205833,8.295659,-4.953051,0.45179528
MDK,-1,-1,Secreted Factors,Matrisome-associated,P21741,Midkine,11.155749,8.964772,-6.412701,-0.8381108
MEGF6,0,0,Secreted Factors,Matrisome-associated,O75095,Multiple epidermal growth factor-like domains protein 6,16.58417,5.401942,-1.0197008,11.582489
MFAP1,3,4,ECM Glycoproteins,Core matrisome,Q9CQU1,Microfibrillar-associated protein 1,14.270343,6.442438,-4.385102,1.7558533
MFAP2,-1,-1,ECM Glycoproteins,Core matrisome,P55001,Microfibrillar-associated protein 2,14.307096,8.962178,-5.919065,-1.2849814
MFAP4,-1,-1,ECM Glycoproteins,Core matrisome,P55083,Microfibril-associated glycoprotein 4,12.25532,6.2302895,-8.2915325,2.9875593
MFAP5,-1,-1,ECM Glycoproteins,Core matrisome,D3Z3L7,Microfibrillar-associated protein 5,13.076186,8.273009,-6.8924193,0.5435148
MFGE8,-1,-1,ECM Glycoproteins,Core matrisome,Q08431,Lactadherin;Lactadherin short form;Medin,13.579133,7.091757,-5.2372756,4.042493
MGP,-1,-1,ECM Glycoproteins,Core matrisome,P08493,Matrix Gla protein,13.270211,6.961494,-18.139215,13.927803
MIF,-1,-1,Secreted Factors,Matrisome-associated,P14174,Macrophage migration inhibitory factor,8.872303,11.892768,-8.856413,-1.4282755
MME,-1,0,ECM Regulators,Matrisome-associated,P08473,Neprilysin,16.554209,5.440293,-0.86591876,11.488915
MMP1,17,18,ECM Regulators,Matrisome-associated,P03956,Interstitial collagenase;22 kDa interstitial collagenase;27 kDa interstitial collagenase,5.8776817,13.149473,-12.814228,2.078138
MMP12,8,9,ECM Regulators,Matrisome-associated,P39900,Macrophage metalloelastase,20.078123,12.600801,-17.986477,15.1152
MMP13,-1,-1,ECM Regulators,Matrisome-associated,G5E971,Collagenase 3 OS=Homo sapiens GN=MMP13 PE=1 SV=1,12.579367,8.626779,-4.0949235,2.1710098
MMP14,2,1,ECM Regulators,Matrisome-associated,P50281,Matrix metalloproteinase-14,14.772351,4.600996,-3.99231,7.901572
MMP19,8,9,ECM Regulators,Matrisome-associated,Q99542,Matrix metalloproteinase-19,19.946085,11.988861,-17.764124,14.789414
MMP2,-1,-1,ECM Regulators,Matrisome-associated,P08253,72 kDa type IV collagenase;PEX,20.372269,12.289355,-8.602122,3.257577
MMP3,-1,-1,ECM Regulators,Matrisome-associated,P08254,Stromelysin-1,6.0040526,12.7304535,-12.124779,2.0062766
MMP8,20,-1,ECM Regulators,Matrisome-associated,Q8C230,Neutrophil collagenase,6.9951973,9.9702635,-2.5169683,3.8962333
MMP9,-1,-1,ECM Regulators,Matrisome-associated,P14780,Matrix metalloproteinase-9;67 kDa matrix metalloproteinase-9;82 kDa matrix metalloproteinase-9,14.45251,6.4459367,-4.361106,1.7329997
MMRN1,8,-1,ECM Glycoproteins,Core matrisome,Q13201,Multimerin-1;Platelet glycoprotein Ia*;155 kDa platelet multimerin,19.966707,12.0317955,-17.701393,14.797968
MMRN2,-1,-1,ECM Glycoproteins,Core matrisome,Q9H8L6,Multimerin-2,16.666594,5.444974,-0.96555537,11.644423
MPI,0,-1,ECM Regulators,Matrisome-associated,P34949,Mannose-6-phosphate isomerase,15.20846,6.489251,-0.77671164,11.705863
MST1;MST1L,-1,-1,Secreted Factors,Matrisome-associated,P26927;Q2TV78,Hepatocyte growth factor-like protein;Hepatocyte growth factor-like protein alpha chain;Hepatocyte growth factor-like protein beta chain;Putative macrophage stimulating 1-like protein,7.020916,10.352014,-0.2991419,3.4531996
MUC1,-1,-1,ECM-affiliated Proteins,Matrisome-associated,Q02496,Mucin-1;Mucin-1 subunit alpha;Mucin-1 subunit beta,12.666816,8.067196,-6.646937,1.1931762
MXRA5,6,10,ECM Glycoproteins,Core matrisome,Q9NR99,Matrix-remodeling-associated protein 5,13.365715,9.662351,-6.396043,-0.8535044
Masp1,11,13,ECM Regulators,Matrisome-associated,P98064,Mannan-binding lectin serine protease 1 (EC 3.4.21.-) (Complement factor MASP-3) (Complement-activating component of Ra-reactive factor) (Mannose-binding lectin-associated serine protease 1) (MASP-1) (Mannose-binding protein-associated serine protease) (Ra-reactive factor serine protease p100) (RaRF) (Serine protease 5) [Cleaved into: Mannan-binding lectin serine protease 1 heavy chain; Mannan-binding lectin serine protease 1 light chain],4.4376373,8.621938,-0.10704618,5.56327
Masp2,-1,20,ECM Regulators,Matrisome-associated,Q91WP0,Mannan-binding lectin serine protease 2 (EC 3.4.21.104) (MBL-associated serine protease 2) (Mannose-binding protein-associated serine protease 2) (MASP-2) [Cleaved into: Mannan-binding lectin serine protease 2 A chain; Mannan-binding lectin serine protease 2 B chain],7.1661625,10.506674,-0.41436702,3.3910866
Matn2,-1,-1,ECM Glycoproteins,Core matrisome,O08746,Matrilin-2,0.11552427,6.434135,2.2207162,6.0255404
Matn4,-1,-1,ECM Glycoproteins,Core matrisome,F2Z469,,-1.6808984,6.521404,4.237682,6.4853673
Mbl1,-1,5,ECM-affiliated Proteins,Matrisome-associated,P39039,Mannose-binding protein A (MBP-A) (Mannan-binding protein) (Ra-reactive factor polysaccharide-binding component p28B) (RaRF p28B),0.56182575,10.137004,1.0796758,1.2622745
Mbl2,-1,-1,ECM-affiliated Proteins,Matrisome-associated,P41317,Mannose-binding protein C (MBP-C) (Mannan-binding protein) (RA-reactive factor P28A subunit) (RARF/P28A),2.490923,7.4802995,1.1900281,4.8129735
Mbp,-1,-1,Proteoglycans,Core matrisome,F6RT34,,3.8550851,9.454613,0.38682887,3.356345
Megf10,-1,7,Secreted Factors,Matrisome-associated,Q6DIB5,,2.4223042,9.523538,1.3769925,2.9614296
Megf6,-1,-1,Secreted Factors,Matrisome-associated,Q80V70,Multiple epidermal growth factor-like domains protein 6 (Multiple EGF-like domains protein 6) (Epidermal growth factor-like protein 3) (EGF-like protein 3),2.440301,6.8950367,0.11318505,4.3409996
Megf8,14,12,Secreted Factors,Matrisome-associated,P60882,,-0.7542415,4.257532,3.8741019,4.8658576
Megf9,-1,-1,Secreted Factors,Matrisome-associated,Q8BH27,,-1.582959,6.4455457,4.325436,6.440724
Mfap4,-1,-1,ECM Glycoproteins,Core matrisome,Q9D1H9,Microfibril-associated glycoprotein 4,3.497396,7.3760905,0.7555069,5.8673162
Mfap5,-1,-1,ECM Glycoproteins,Core matrisome,Q9QZJ6,Microfibrillar-associated protein 5 (MFAP-5) (Microfibril-associated glycoprotein 2) (MAGP-2),1.0424551,8.645124,0.3774014,2.8034053
Mfge8,-1,-1,ECM Glycoproteins,Core matrisome,P21956,Lactadherin (MFGM) (Milk fat globule-EGF factor 8) (MFG-E8) (SED1) (Sperm surface protein SP47) (MP47),0.7750915,9.533091,0.55167204,1.7621545
Mgp,11,13,ECM Glycoproteins,Core matrisome,P19788,Matrix Gla protein (MGP),4.4003005,8.559452,-0.11162215,5.578165
Mmp17,10,12,ECM Regulators,Matrisome-associated,Q9R0S3,,-1.0954574,6.0102324,4.607184,6.16247
Mmp2,-1,-1,ECM Regulators,Matrisome-associated,P33434,72 kDa type IV collagenase (EC 3.4.24.24) (72 kDa gelatinase) (Gelatinase A) (Matrix metalloproteinase-2) (MMP-2) [Cleaved into: PEX],4.381495,8.839031,-0.1941836,3.6725738
Mmrn1,4,5,ECM Glycoproteins,Core matrisome,B2RPV6,Multimerin-1,0.621697,10.1173525,1.1042193,1.2263551
Mmrn2,-1,-1,ECM Glycoproteins,Core matrisome,A6H6E2,Multimerin-2,2.5615702,7.4969473,1.1406486,4.86514
Mstn,-1,-1,Secreted Factors,Matrisome-associated,O08689,,7.0274096,10.476438,-0.12982832,3.490032
NDNF,15,-1,ECM Glycoproteins,Core matrisome,Q8TB73,Protein NDNF,8.116439,11.412272,-7.2547054,0.39365456
NGF,17,18,Secreted Factors,Matrisome-associated,P01138,Beta-nerve growth factor,5.733517,13.09203,-12.822412,2.0804722
NGLY1,-1,-1,ECM Regulators,Matrisome-associated,Q9JI78,Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase,4.5821753,8.149388,0.7448174,6.1637287
NID1,-1,-1,ECM Glycoproteins,Core matrisome,P14543,Nidogen-1,12.676342,8.228826,1.0520676,6.148931
NID2,-1,-1,ECM Glycoproteins,Core matrisome,Q14112,Nidogen-2,14.594606,8.059364,-5.7340126,0.12922394
NID2;NID-2,15,17,ECM Glycoproteins,Core matrisome,O88322,Nidogen-2,8.1331625,11.378501,-7.232795,0.3904781
NOV,-1,-1,ECM Glycoproteins,Core matrisome,P48745,Protein NOV homolog,12.8729105,10.161363,-6.352412,-1.704386
NPNT,-1,-1,ECM Glycoproteins,Core matrisome,Q6UXI9,Nephronectin,14.151907,9.125053,-6.08674,-1.212988
NRP1,-1,-1,ECM Glycoproteins,Core matrisome,O14786,Neuropilin-1,4.079705,8.050236,0.19354603,5.8352747
NRP2,17,18,ECM Glycoproteins,Core matrisome,O60462,Neuropilin-2,5.871578,13.140354,-12.808432,2.0709338
NTN1,-1,-1,ECM Glycoproteins,Core matrisome,O95631,Netrin-1,10.288394,11.143231,-8.595222,-1.5014726
NTN3,3,4,ECM Glycoproteins,Core matrisome,O00634,Netrin-3 OS=Homo sapiens GN=NTN3 PE=1 SV=1,14.165141,6.362402,-4.280592,1.9040161
NTN4,-1,-1,ECM Glycoproteins,Core matrisome,Q0VEM1,Netrin-4,12.851752,8.317011,-6.764488,0.98366976
Ncan,-1,-1,Proteoglycans,Core matrisome,A0A0R4IZX5,,2.9892638,9.840191,0.47285616,3.4605641
Nell2,14,12,ECM Glycoproteins,Core matrisome,A0A2R8VHV8,,-1.0715525,5.0671573,4.396213,5.457522
Ngly1,-1,-1,ECM Regulators,Matrisome-associated,Q9JI78,Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase (PNGase) (mPNGase) (EC 3.5.1.52) (N-glycanase 1) (Peptide:N-glycanase),2.504414,6.810929,0.4691646,5.3551464
Nid1,-1,-1,ECM Glycoproteins,Core matrisome,P10493,Nidogen-1 (NID-1) (Entactin),2.841647,9.724351,1.1726878,1.293457
Nid2,-1,-1,ECM Glycoproteins,Core matrisome,O88322,Nidogen-2 (NID-2) (Entactin-2),2.0993896,9.55337,1.9735198,2.8722866
Npnt,9,11,ECM Glycoproteins,Core matrisome,Q91V88,Nephronectin (Preosteoblast EGF-like repeat protein with MAM domain),3.4956193,9.813937,0.77182,1.032272
Nrg3,-1,-1,Secreted Factors,Matrisome-associated,O35181,,-1.4254693,5.5982275,3.8323197,5.600919
Ntn1,11,13,ECM Glycoproteins,Core matrisome,O09118,Netrin-1,4.347036,8.411332,0.15538196,5.8247337
Ntng1,13,12,ECM Glycoproteins,Core matrisome,F8WJ51,,-0.78969353,4.2766757,3.7553878,4.832728
OGN,-1,-1,Proteoglycans,Core matrisome,P20774,Mimecan,12.4189625,7.8901505,-6.1878853,1.0147878
OMD,8,9,Proteoglycans,Core matrisome,Q99983,Osteomodulin,20.269587,12.485656,-17.726847,14.852592
Ogfod1,-1,-1,ECM Regulators,Matrisome-associated,Q3U0K8,,-0.62716436,4.8547697,4.8174143,5.5216923
Ogn,-1,-1,Proteoglycans,Core matrisome,Q62000,Mimecan (Osteoglycin),9.174999,10.327927,-0.43927163,2.9617496
Ovos,-1,12,ECM Regulators,Matrisome-associated,Q3UU35,,-0.7366952,4.6059546,4.544565,5.277901
P3H1,5,6,ECM Regulators,Matrisome-associated,A2A7Q5,Prolyl 3-hydroxylase 1;Prolyl 3-hydroxylase 1;Prolyl 3-hydroxylase 1;Isoform 3 of Prolyl 3-hydroxylase 1,15.348858,7.5559974,-3.8438904,-0.18379892
P3h1,12,14,ECM Regulators,Matrisome-associated,Q3V1T4,Prolyl 3-hydroxylase 1 (EC 1.14.11.7) (Growth suppressor 1) (Leucine- and proline-enriched proteoglycan 1) (Leprecan-1),3.622662,7.5001116,0.93350995,6.133929
P4HA1,6,10,ECM Regulators,Matrisome-associated,P13674,Prolyl 4-hydroxylase subunit alpha-1,13.495234,9.665038,-6.30493,-0.7917428
P4HA2,-1,-1,ECM Regulators,Matrisome-associated,O15460,Prolyl 4-hydroxylase subunit alpha-2,3.8555071,7.3931756,0.45484313,6.041768
P4ha1,-1,-1,ECM Regulators,Matrisome-associated,Q60715-2,"Prolyl 4-hydroxylase subunit alpha-1 (4-PH alpha-1) (EC 1.14.11.2) (Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-1)",-0.17308573,6.153105,1.6663082,6.3201838
P4htm,-1,-1,ECM Regulators,Matrisome-associated,Q8BG58,,-1.3511509,5.34117,3.80316,5.5126004
PAMR1,-1,-1,ECM Regulators,Matrisome-associated,Q6UXH9,Inactive serine protease PAMR1,10.960543,10.796245,-7.2942886,-1.4720445
PAPLN,0,-1,ECM Glycoproteins,Core matrisome,O95428,Papilin,15.21496,6.476919,-0.77776694,11.659431
PAPPA,18,-1,ECM Regulators,Matrisome-associated,Q13219,Pappalysin-1,8.615834,11.993584,-9.356144,-1.3348866
PCOLCE,-1,-1,ECM Glycoproteins,Core matrisome,Q15113,Procollagen C-endopeptidase enhancer 1,11.335075,9.01307,-6.2744007,-0.61285233
PCOLCE2,-1,-1,ECM Glycoproteins,Core matrisome,Q9UKZ9,Procollagen C-endopeptidase enhancer 2,12.385646,10.069383,-6.923918,-1.7725147
PCSK5,18,22,ECM Regulators,Matrisome-associated,Q92824,Proprotein convertase subtilisin/kexin type 5,8.42516,12.340887,-9.638749,-1.3398738
PCSK6,17,18,ECM Regulators,Matrisome-associated,P29122,Proprotein convertase subtilisin/kexin type 6,5.8289614,13.169749,-12.789795,2.0357704
PDF,-1,-1,Secreted Factors,Matrisome-associated,Q9HBH1,"Peptide deformylase, mitochondrial (EC 3.5.1.88) (Polypeptide deformylase)",12.663616,8.033824,-6.518034,1.081369
PDGFC,18,-1,Secreted Factors,Matrisome-associated,Q9NRA1,"Platelet-derived growth factor C;Platelet-derived growth factor C, latent form;Platelet-derived growth factor C, receptor-binding form",8.262791,12.40033,-9.714612,-1.194351
PDGFD,-1,-1,Secreted Factors,Matrisome-associated,Q9GZP0,"Platelet-derived growth factor D;Platelet-derived growth factor D, latent form;Platelet-derived growth factor D, receptor-binding form",7.2627287,10.118287,-11.889825,1.1846302
PF4,19,16,Secreted Factors,Matrisome-associated,Q6P8R3,C-X-C motif chemokine;Platelet factor 4,9.729866,6.660105,-4.4525776,4.1808763
PF4;PF4V1,-1,-1,Secreted Factors,Matrisome-associated,P02776;P10720,"Platelet factor 4;Platelet factor 4, short form;Platelet factor 4 variant;Platelet factor 4 variant(4-74);Platelet factor 4 variant(5-74);Platelet factor 4 variant(6-74)",9.968542,11.2303295,-8.719493,-2.48549
PLAT,-1,-1,ECM Regulators,Matrisome-associated,P00750,Tissue-type plasminogen activator;Tissue-type plasminogen activator chain A;Tissue-type plasminogen activator chain B,10.361291,6.3561134,-5.150618,4.162599
PLAU,-1,-1,ECM Regulators,Matrisome-associated,Q0VBA8,Urokinase-type plasminogen activator;Urokinase-type plasminogen activator long chain A;Urokinase-type plasminogen activator short chain A;Urokinase-type plasminogen activator chain B,7.771496,11.537021,-0.8700086,3.4584463
PLG,-1,-1,ECM Regulators,Matrisome-associated,P00747,"Plasminogen;Plasmin heavy chain A;Activation peptide;Angiostatin;Plasmin heavy chain A, short form;Plasmin light chain B",12.356366,6.1271567,-8.130556,3.080876
PLOD1,-1,-1,ECM Regulators,Matrisome-associated,Q02809,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",14.918203,4.4761214,-4.144145,7.8875213
PLOD2,-1,6,ECM Regulators,Matrisome-associated,O00469,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",15.294084,7.521678,-3.9734385,-0.19547063
PLOD3,-1,1,ECM Regulators,Matrisome-associated,O60568,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3",14.729763,4.7085104,-3.931472,7.8190303
PLXDC2,2,1,ECM-affiliated Proteins,Matrisome-associated,Q6UX71,Plexin domain-containing protein 2,14.852085,4.540435,-4.038772,7.817729
PLXNA1,-1,-1,ECM-affiliated Proteins,Matrisome-associated,P70206,Plexin-A1,3.7967374,7.6688313,0.5389395,6.071047
PLXNB1,-1,-1,ECM-affiliated Proteins,Matrisome-associated,Q8CJH3,Plexin-B1,10.731549,8.896357,0.64149696,6.161047
PLXNB2,-1,-1,ECM-affiliated Proteins,Matrisome-associated,O15031,Plexin-B2,14.282865,9.193982,-5.8063307,-1.4719518
PLXNB2;MKIAA0315,21,21,ECM-affiliated Proteins,Matrisome-associated,B2RXS4,Plexin-B2,7.2878847,11.000802,-0.5412261,3.4754257
PLXND1,12,14,ECM-affiliated Proteins,Matrisome-associated,Q9Y4D7,Plexin-D1,3.5851958,7.515082,0.93908066,6.0909824
PODN,-1,-1,Proteoglycans,Core matrisome,Q7Z5L7,Podocan,20.404821,12.255836,-18.034138,14.262974
PODNL1,18,22,Proteoglycans,Core matrisome,Q6PEZ8,Podocan-like protein 1,8.408712,12.302841,-9.5741205,-1.3833472
POSTN,-1,-1,ECM Glycoproteins,Core matrisome,Q15063;CON__Q2KJC7,Periostin,10.800879,6.5746284,-8.373083,3.2587867
PPBP,-1,-1,Secreted Factors,Matrisome-associated,P02775,Platelet basic protein;Connective tissue-activating peptide III;TC-2;Connective tissue-activating peptide III(1-81);Beta-thromboglobulin;Neutrophil-activating peptide 2(74);Neutrophil-activating peptide 2(73);Neutrophil-activating peptide 2;TC-1;Neutrophil-activating peptide 2(1-66);Neutrophil-activating peptide 2(1-63),13.081499,9.933491,-6.187679,-2.0023072
PRELP,-1,-1,Proteoglycans,Core matrisome,P51888,Prolargin,12.529049,7.8137016,-6.266223,1.0761614
PRG2,-1,-1,Proteoglycans,Core matrisome,P13727,Bone marrow proteoglycan;Eosinophil granule major basic protein,12.495376,8.546257,-4.734939,3.978621
PRG3,-1,-1,Proteoglycans,Core matrisome,Q9Y2Y8,Proteoglycan 3,14.903065,6.6656218,-0.8033944,11.674385
PRG4,-1,-1,Proteoglycans,Core matrisome,Q92954,Proteoglycan 4;Proteoglycan 4 C-terminal part,13.000533,6.5347557,-18.135618,14.010967
PRL7C1,5,6,Secreted Factors,Matrisome-associated,Q9CRB5,Prolactin-7C1,15.31172,7.584697,-3.8876586,-0.14287293
PRSS1,5,6,ECM Regulators,Matrisome-associated,Q9Z1R9,MCG124046,15.368961,7.61224,-3.828685,-0.16973777
PRSS2,3,4,ECM Regulators,Matrisome-associated,A0A0J9YW57,Trypsin-2 OS=Homo sapiens GN=PRSS2 PE=1 SV=1,14.217555,6.323649,-4.3530855,1.7899153
PRSS3P2;PRSS2;PRSS1,-1,-1,ECM Regulators,Matrisome-associated,CON__P07477;Q8NHM4;P07478;P07477,Putative trypsin-6;Trypsin-2;Trypsin-1;Alpha-trypsin chain 1;Alpha-trypsin chain 2,10.296199,11.113807,-8.496733,-1.3921622
PTN,-1,-1,Secreted Factors,Matrisome-associated,P21246,Pleiotrophin,13.115242,10.143681,-6.1933866,-1.4060379
PXDN,-1,-1,ECM Glycoproteins,Core matrisome,Q92626,Peroxidasin homolog,13.41611,7.634891,0.878723,6.1628838
PXDNL,12,14,ECM Glycoproteins,Core matrisome,A1KZ92,Peroxidasin-like protein (EC 1.11.1.7) (Cardiac peroxidase) (Vascular peroxidase 2) (polysomal ribonuclease 1) (PRM1),3.693561,7.5358386,0.887216,6.0692744
PXN,12,14,ECM Glycoproteins,Core matrisome,P49023,Paxillin,3.623144,7.4708505,0.88031644,6.0945086
PZP,-1,-1,ECM Regulators,Matrisome-associated,P20742,Pregnancy zone protein,12.672996,6.2575116,-8.5267725,2.671183
Pag1,14,12,ECM Regulators,Matrisome-associated,Q3U1F9,,-1.2240041,5.223898,4.087426,5.5310183
Papln,-1,-1,ECM Glycoproteins,Core matrisome,Q9EPX2,Papilin,1.0822539,8.612924,0.44369078,2.6959102
Parm1,-1,-1,ECM-affiliated Proteins,Matrisome-associated,Q923D3,,-1.5973654,6.6225796,4.466119,6.5013175
Pcolce,-1,-1,ECM Glycoproteins,Core matrisome,Q61398,Procollagen C-endopeptidase enhancer 1 (P14) (Procollagen COOH-terminal proteinase enhancer 1) (PCPE-1) (Procollagen C-proteinase enhancer 1) (Type 1 procollagen C-proteinase enhancer protein) (Type I procollagen COOH-terminal proteinase enhancer),2.2002647,8.078069,1.7580742,4.600741
Pcolce2,9,11,ECM Glycoproteins,Core matrisome,Q8R4W6,Procollagen C-endopeptidase enhancer 2 (Procollagen COOH-terminal proteinase enhancer 2) (PCPE-2) (Procollagen C-proteinase enhancer 2),3.454202,9.802723,0.8405763,1.0809284
Pik3ip1,13,12,Secreted Factors,Matrisome-associated,Q7TMJ8,,7.820625,12.620384,3.3359833,4.6048865
Plg,-1,-1,ECM Regulators,Matrisome-associated,P20918,"Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Angiostatin; Plasmin heavy chain A, short form; Plasmin light chain B]",8.643056,12.00867,-0.36632413,2.9090073
Plod1,-1,-1,ECM Regulators,Matrisome-associated,Q9R0E2,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 (EC 1.14.11.4) (Lysyl hydroxylase 1) (LH1)",3.4783409,7.3884454,1.0400496,6.2172527
Plod3,12,14,ECM Regulators,Matrisome-associated,Q9R0E1,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 (EC 1.14.11.4) (Lysyl hydroxylase 3) (LH3)",3.6267762,7.5398846,0.85133433,6.0912123
Plxdc1,10,12,ECM-affiliated Proteins,Matrisome-associated,Q91ZV7,,-1.0276561,6.0968413,4.665759,6.1731505
