Gene_Symbol,Protein_Name,Matrisome_Category,Matrisome_Division,N_Tissues,N_Measurements,Direction_Consistency,Predominant_Direction,N_Upregulated,N_Downregulated,Mean_Zscore_Delta,Abs_Mean_Zscore_Delta,Median_Zscore_Delta,Std_Zscore_Delta,N_Strong_Effects,Strong_Effect_Rate,T_Statistic,P_Value,Universality_Score,Balance_Difference
EIF4H,Eukaryotic translation initiation factor 4H OS=Homo sapiens GN=EIF4H PE=1 SV=5,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.4375166458657766,0.5177976277888205,0.4375166458657766,0.7322764277835658,1,0.5,,,0.2370738804259408,0
PDK3,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial OS=Homo sapiens GN=PDK3 PE=1 SV=1",Unknown,Unknown,2,2,0.5,DOWN,1,1,0.4224003584167427,0.6933682105612345,0.4224003584167427,0.9805707270940618,1,0.5,,,0.2546309387031823,0
PMVK,Phosphomevalonate kinase OS=Homo sapiens GN=PMVK PE=1 SV=3,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0883618350213303,0.1111743459192103,-0.0883618350213303,0.1572242677869051,0,0.0,,,0.1964115522389798,0
PCM1,Pericentriolar material 1 protein OS=Homo sapiens GN=PCM1 PE=1 SV=4,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.2147356483942478,0.3480476757070274,0.2147356483942478,0.4922137433373109,1,0.5,,,0.2200988852177615,0
PPA1,Inorganic pyrophosphatase OS=Homo sapiens GN=PPA1 PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.2360588327718816,0.3204937657588479,-0.2360588327718816,0.4532466301921886,1,0.5,,,0.2173434942229436,0
RNPS1,RNA-binding protein with serine-rich domain 1 OS=Homo sapiens GN=RNPS1 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0062562848769152,0.2299980939175732,0.0062562848769152,0.325266423738193,0,0.0,,,0.2082939270388161,0
KRT31,"Keratin, type I cuticular Ha1 OS=Homo sapiens GN=KRT31 PE=1 SV=3",Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0293116877687438,0.1515144466326827,-0.0293116877687438,0.2142737853233944,0,0.0,,,0.2004455623103271,0
RPS6KA2,Ribosomal protein S6 kinase alpha-2 OS=Homo sapiens GN=RPS6KA2 PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.4297487396177135,0.5324457437667612,0.4297487396177135,0.7529919920627837,1,0.5,,,0.2385386920237349,0
TOMM20,Mitochondrial import receptor subunit TOM20 homolog OS=Homo sapiens GN=TOMM20 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.298868478077548,0.5398486224816413,0.298868478077548,0.7634612435419701,1,0.5,,,0.2392789798952229,0
KIAA0020,Pumilio domain-containing protein KIAA0020 OS=Homo sapiens GN=KIAA0020 PE=1 SV=3,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.3457607512906639,0.3608873331201336,0.3457607512906639,0.51037176098715,1,0.5,,,0.2213828509590722,0
SAFB,Scaffold attachment factor B1 OS=Homo sapiens GN=SAFB PE=1 SV=4,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.000308889061947,0.3335678220055287,-0.000308889061947,0.4717361378514733,0,0.0,,,0.2186508998476117,0
SF3B4,Splicing factor 3B subunit 4 OS=Homo sapiens GN=SF3B4 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.1755445470240114,0.4661244309280309,-0.1755445470240114,0.6591994919718622,1,0.5,,,0.2319065607398619,0
SEC23B,Protein transport protein Sec23B OS=Homo sapiens GN=SEC23B PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0486683826547784,0.221946721469929,-0.0486683826547784,0.3138800636270173,0,0.0,,,0.2074887897940517,0
FCN2,Ficolin-2 OS=Homo sapiens GN=FCN2 PE=1 SV=2,ECM-affiliated Proteins,Matrisome-associated,2,2,0.5,DOWN,1,1,-0.0754987072813715,0.270086062250114,-0.0754987072813715,0.3819593722420552,0,0.0,,,0.2123027238720702,0
TRADD,Tumor necrosis factor receptor type 1-associated DEATH domain protein OS=Homo sapiens GN=TRADD PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0602524293517453,0.173781853625569,-0.0602524293517453,0.2457646542916158,0,0.0,,,0.2026723030096157,0
ELAVL1,ELAV-like protein 1 OS=Homo sapiens GN=ELAVL1 PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.8316349329308071,0.948997110023318,0.8316349329308071,1.3420845836478486,1,0.5,,,0.2801938286493906,0
HERC1,Probable E3 ubiquitin-protein ligase HERC1 OS=Homo sapiens GN=HERC1 PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.3305270019604238,0.4721745645852159,0.3305270019604238,0.6677556730440232,1,0.5,,,0.2325115741055804,0
SRSF7,Serine/arginine-rich splicing factor 7 OS=Homo sapiens GN=SRSF7 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.113947403818028,0.1583557170318637,0.113947403818028,0.2239488027057777,0,0.0,,,0.2011296893502452,0
PDK4,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 4, mitochondrial OS=Homo sapiens GN=PDK4 PE=1 SV=1",Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.1649119384794281,0.2634383042821825,-0.1649119384794281,0.3725580227644327,0,0.0,,,0.211637948075277,0
NRF1,Nuclear respiratory factor 1 OS=Homo sapiens GN=NRF1 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0920498449471993,0.1109719064636639,-0.0920498449471993,0.156937975163312,0,0.0,,,0.1963913082934252,0
TST,Thiosulfate sulfurtransferase OS=Homo sapiens GN=TST PE=1 SV=4,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.1120584506246986,0.1150203512024635,-0.1120584506246986,0.1626633406194405,0,0.0,,,0.1967961527673052,0
TMEM132A,Transmembrane protein 132A OS=Homo sapiens GN=TMEM132A PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.5531951882783817,0.5913918701064727,0.5531951882783817,0.8363544033817613,1,0.5,,,0.2444333046577061,0
KRT24,"Keratin, type I cytoskeletal 24 OS=Homo sapiens GN=KRT24 PE=1 SV=1",Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0833812893572228,0.1217285364866054,-0.0833812893572228,0.1721501472271855,0,0.0,,,0.1974669712957193,0
HKDC1,Putative hexokinase HKDC1 OS=Homo sapiens GN=HKDC1 PE=1 SV=3,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0235585785199264,0.2382311414745553,0.0235585785199264,0.3369097112529396,0,0.0,,,0.2091172317945143,0
LARP7,La-related protein 7 OS=Homo sapiens GN=LARP7 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0412253910387763,0.1613088442042003,0.0412253910387763,0.2281251552043087,0,0.0,,,0.2014250020674788,0
ACSF3,"Acyl-CoA synthetase family member 3, mitochondrial OS=Homo sapiens GN=ACSF3 PE=1 SV=3",Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0169284886236229,0.3576703884036782,-0.0169284886236229,0.5058223141397344,0,0.0,,,0.2210611564874266,0
HSD17B12,Very-long-chain 3-oxoacyl-CoA reductase OS=Homo sapiens GN=HSD17B12 PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.3689890951599541,0.6394353227896445,0.3689890951599541,0.9042981057495332,1,0.5,,,0.2492376499260233,0
AGK,"Acylglycerol kinase, mitochondrial OS=Homo sapiens GN=AGK PE=1 SV=2",Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1536202219708119,0.2035542493859093,0.1536202219708119,0.2878691801602281,0,0.0,,,0.2056495425856497,0
OCIAD2,OCIA domain-containing protein 2 OS=Homo sapiens GN=OCIAD2 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1508350383347702,0.3102457255303578,0.1508350383347702,0.4387537127133128,0,0.0,,,0.2163186902000946,0
HSP90AB3P,Putative heat shock protein HSP 90-beta-3 OS=Homo sapiens GN=HSP90AB3P PE=5 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.3972461248880049,0.569119002805451,0.3972461248880049,0.8048558123717204,1,0.5,,,0.2422060179276039,0
ANKRD20A8P,Ankyrin repeat domain-containing protein 20B OS=Homo sapiens GN=ANKRD20A8P PE=2 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1091927210832726,0.1871705068786752,0.1091927210832726,0.2646990693040692,0,0.0,,,0.2040111683349263,0
EARS2,"Probable glutamate--tRNA ligase, mitochondrial OS=Homo sapiens GN=EARS2 PE=1 SV=2",Unknown,Unknown,2,2,0.5,DOWN,1,1,0.3431452667099631,0.3448209974491111,0.3431452667099631,0.4876505311835513,1,0.5,,,0.2197762173919699,0
C3orf38,Uncharacterized protein C3orf38 OS=Homo sapiens GN=C3orf38 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1701996935982893,0.1929620172607246,0.1701996935982893,0.272889501832988,0,0.0,,,0.2045903193731313,0
SRSF10,Serine/arginine-rich-splicing factor 10 OS=Homo sapiens GN=SRSF10 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.3836040362392918,0.4864694560228831,0.3836040362392918,0.6879717023878233,1,0.5,,,0.2339410632493471,0
PITRM1,"Presequence protease, mitochondrial OS=Homo sapiens GN=PITRM1 PE=1 SV=3",Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0565588446185345,0.1136089847204899,0.0565588446185345,0.1606673669991546,0,0.0,,,0.1966550161191078,0
RRP12,RRP12-like protein OS=Homo sapiens GN=RRP12 PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0650584893887336,0.1106185185659258,0.0650584893887336,0.1564382092055524,0,0.0,,,0.1963559695036514,0
AARS2,"Alanine--tRNA ligase, mitochondrial OS=Homo sapiens GN=AARS2 PE=1 SV=1",Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1969800554681685,0.4996812037606177,0.1969800554681685,0.7066559352211795,1,0.5,,,0.2352622380231206,0
RALY,RNA-binding protein Raly (Fragment) OS=Homo sapiens GN=RALY PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.2506409256638467,0.4059374156885001,0.2506409256638467,0.5740821987413618,1,0.5,,,0.2258878592159088,0
LYPLA2,Acyl-protein thioesterase 2 (Fragment) OS=Homo sapiens GN=LYPLA2 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.3426467747941757,0.4615841658123496,0.3426467747941757,0.6527785874684964,1,0.5,,,0.2314525342282938,0
COX20,Cytochrome c oxidase protein 20 homolog OS=Homo sapiens GN=COX20 PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.1622483926461137,0.3592570350440555,-0.1622483926461137,0.5080661713372496,1,0.5,,,0.2212198211514643,0
TMEM201,Transmembrane protein 201 OS=Homo sapiens GN=TMEM201 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.041714124464879,0.0552709774596185,-0.041714124464879,0.0781649659290101,0,0.0,,,0.1908212153930207,0
CSNK2B,Casein kinase II subunit beta OS=Homo sapiens GN=CSNK2B PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.3298653792365617,0.4089643653460838,-0.3298653792365617,0.5783629519997372,1,0.5,,,0.2261905541816672,0
HP1BP3,Heterochromatin protein 1-binding protein 3 OS=Homo sapiens GN=HP1BP3 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0697820266887996,0.1021385830858574,-0.0697820266887996,0.1444457694415908,0,0.0,,,0.1955079759556445,0
NOL9,Polynucleotide 5'-hydroxyl-kinase NOL9 OS=Homo sapiens GN=NOL9 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1806539118450902,0.3657775054763859,0.1806539118450902,0.517287509055704,1,0.5,,,0.2218718681946974,0
FREM2,FRAS1-related extracellular matrix protein 2 OS=Homo sapiens GN=FREM2 PE=1 SV=2,ECM-affiliated Proteins,Matrisome-associated,2,2,0.5,DOWN,1,1,0.2684925429719179,0.3763709305484027,0.2684925429719179,0.5322688744645334,1,0.5,,,0.2229312107018991,0
PPIL4,Peptidyl-prolyl cis-trans isomerase-like 4 OS=Homo sapiens GN=PPIL4 PE=4 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0389853817867861,0.0577558123703571,0.0389853817867861,0.0816790531600347,0,0.0,,,0.1910696988840945,0
KIAA1217,Sickle tail protein homolog OS=Homo sapiens GN=KIAA1217 PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0268676204363599,0.2176968960895065,0.0268676204363599,0.3078699029363065,0,0.0,,,0.2070638072560094,0
IDNK,Probable gluconokinase OS=Homo sapiens GN=IDNK PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.071044544145139,0.2422560834084805,0.071044544145139,0.3426018387236609,0,0.0,,,0.2095197259879068,0
ATAD3B,ATPase family AAA domain-containing protein 3B OS=Homo sapiens GN=ATAD3B PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0141908857676959,0.243529960829918,-0.0141908857676959,0.3444033734498586,0,0.0,,,0.2096471137300506,0
CIART,Circadian-associated transcriptional repressor (Fragment) OS=Homo sapiens GN=CIART PE=4 SV=1,Unknown,Unknown,2,4,0.75,DOWN,1,3,-0.0996316254678136,0.1278541461194527,-0.0953768248880069,0.1340707080517613,0,0.0,-1.4862549309331368,0.2339091922165319,0.4262976938156977,2
GRTP1,Growth hormone-regulated TBC protein 1 OS=Homo sapiens GN=GRTP1 PE=1 SV=4,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0643803117208655,0.1436058859162366,0.0643803117208655,0.2030893914993453,0,0.0,,,0.1996547062386825,0
TPM2,Tropomyosin beta chain OS=Homo sapiens GN=TPM2 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1054229042469804,0.285155226872822,0.1054229042469804,0.4032703892251217,0,0.0,,,0.213809640334341,0
TTBK1,Tau-tubulin kinase 1 OS=Homo sapiens GN=TTBK1 PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0386590428987807,0.2069480607435157,-0.0386590428987807,0.292668754210291,0,0.0,,,0.2059889237214104,0
HIST2H3PS2,Histone H3 OS=Homo sapiens GN=HIST2H3PS2 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0854128841210768,0.1454688699414495,0.0854128841210768,0.2057240487742858,0,0.0,,,0.1998410046412038,0
KLHDC7A,Kelch domain-containing protein 7A OS=Homo sapiens GN=KLHDC7A PE=1 SV=5,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.067797604980846,0.0770921009243671,-0.067797604980846,0.1090246946790755,0,0.0,,,0.1930033277394955,0
ATP5EP2,"ATP synthase subunit epsilon-like protein, mitochondrial OS=Homo sapiens GN=ATP5EP2 PE=3 SV=1",Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.5455649910582977,0.6087826827441359,-0.5455649910582977,0.8609487264746343,1,0.5,,,0.2461723859214724,0
MGST3,Microsomal glutathione S-transferase 3 OS=Homo sapiens GN=MGST3 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1673277901649444,0.3591643267508736,0.1673277901649444,0.5079350620116873,1,0.5,,,0.2212105503221462,0
LYPLAL1,Lysophospholipase-like protein 1 OS=Homo sapiens GN=LYPLAL1 PE=1 SV=3,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.1202921005551533,0.1582503701136405,-0.1202921005551533,0.2237998196652723,0,0.0,,,0.2011191546584229,0
SPATA21,SPATA21 protein OS=Homo sapiens GN=SPATA21 PE=2 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.3194566505725419,0.417834685565113,-0.3194566505725419,0.5909074791560806,1,0.5,,,0.2270775862035701,0
DENND4C,DENN domain-containing protein 4C OS=Homo sapiens GN=DENND4C PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1144650650194162,0.3231722860605056,0.1144650650194162,0.4570346299298846,0,0.0,,,0.2176113462531094,0
TBC1D9B,TBC1 domain family member 9B OS=Homo sapiens GN=TBC1D9B PE=1 SV=3,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.2399175728505095,0.4541052334833914,0.2399175728505095,0.6422017799368129,1,0.5,,,0.2307046409953979,0
ATL3,Atlastin-3 OS=Homo sapiens GN=ATL3 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.3178373924815156,0.6724292287000475,-0.3178373924815156,0.9509585349636868,1,0.5,,,0.2525370405170636,0
GLYAT,Glycine N-acyltransferase OS=Homo sapiens GN=GLYAT PE=1 SV=3,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.424483717500935,0.5138892512780605,-0.424483717500935,0.7267491487151885,1,0.5,,,0.2366830427748648,0
KRT80,"Keratin, type II cytoskeletal 80 OS=Homo sapiens GN=KRT80 PE=1 SV=2",Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0941622731025164,0.450833359379115,-0.0941622731025164,0.637574651204168,1,0.5,,,0.2303774535849703,0
PTRF,Polymerase I and transcript release factor OS=Homo sapiens GN=PTRF PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1209636852710693,0.2255349902245807,0.1209636852710693,0.3189546419652855,0,0.0,,,0.2078476166695169,0
FAM117B,Protein FAM117B OS=Homo sapiens GN=FAM117B PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.1632581408670302,0.2843715809517008,-0.1632581408670302,0.4021621465353738,0,0.0,,,0.2137312757422289,0
XRRA1,X-ray radiation resistance-associated protein 1 OS=Homo sapiens GN=XRRA1 PE=2 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0786401747100569,0.1801879656339417,0.0786401747100569,0.2548242647759375,0,0.0,,,0.203312914210453,0
EDC4,Enhancer of mRNA-decapping protein 4 OS=Homo sapiens GN=EDC4 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0442743507367036,0.0721503409003551,0.0442743507367036,0.1020359906311244,0,0.0,,,0.1925091517370943,0
PRMT9,Putative protein arginine N-methyltransferase 9 OS=Homo sapiens GN=PRMT9 PE=2 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0172537657911995,0.3332462943593551,0.0172537657911995,0.4712814290935767,0,0.0,,,0.2186187470829943,0
PDXDC1,Pyridoxal-dependent decarboxylase domain-containing protein 1 OS=Homo sapiens GN=PDXDC1 PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0472907620326858,0.098642118764735,-0.0472907620326858,0.1395010221783058,0,0.0,,,0.1951583295235323,0
DARS2,"Aspartate--tRNA ligase, mitochondrial OS=Homo sapiens GN=DARS2 PE=1 SV=1",Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0220468089388995,0.2550493170122003,0.0220468089388995,0.3606942031926486,0,0.0,,,0.2107990493482788,0
LARP1,La-related protein 1 OS=Homo sapiens GN=LARP1 PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0294707625305447,0.321762869747074,0.0294707625305447,0.4550414142643997,0,0.0,,,0.2174704046217662,0
ATAD2,ATPase family AAA domain-containing protein 2 OS=Homo sapiens GN=ATAD2 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0886529287855574,0.2611801631340228,0.0886529287855574,0.3693645289269525,0,0.0,,,0.2114121339604611,0
TBPL2,TATA box-binding protein-like protein 2 OS=Homo sapiens GN=TBPL2 PE=2 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0086833675087945,0.2134803228190378,-0.0086833675087945,0.3019067678304697,0,0.0,,,0.2066421499289626,0
OLFM4,Olfactomedin-4 OS=Homo sapiens GN=OLFM4 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0317845884236351,0.0701938492423478,0.0317845884236351,0.0992690935937006,0,0.0,,,0.1923135025712936,0
C19orf80,Angiopoietin-like protein 8 OS=Homo sapiens GN=C19orf80 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.2267776235680618,0.7329193870740753,-0.2267776235680618,1.0365045373263335,2,1.0,,,0.2585860563544663,0
TFAP2E,Transcription factor AP-2-epsilon OS=Homo sapiens GN=TFAP2E PE=2 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.1174147370649037,0.2519416960339599,-0.1174147370649037,0.3562993634585059,0,0.0,,,0.2104882872504548,0
HSDL2,Hydroxysteroid dehydrogenase-like protein 2 OS=Homo sapiens GN=HSDL2 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0680959909758659,0.2078136503553624,0.0680959909758659,0.293892882778814,0,0.0,,,0.206075482682595,0
RNF19B,E3 ubiquitin-protein ligase RNF19B OS=Homo sapiens GN=RNF19B PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0509796990017495,0.0560039421318712,-0.0509796990017495,0.0792015345092503,0,0.0,,,0.1908945118602459,0
SYNE3,Nesprin-3 OS=Homo sapiens GN=SYNE3 PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.2834983465986319,0.3561668226246067,-0.2834983465986319,0.5036959510230513,1,0.5,,,0.2209107999095195,0
DENND5B,DENN domain-containing protein 5B OS=Homo sapiens GN=DENND5B PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.1166402601080265,0.2374315122966543,-0.1166402601080265,0.3357788648246829,0,0.0,,,0.2090372688767242,0
FAM179A,Protein FAM179A OS=Homo sapiens GN=FAM179A PE=2 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1056198047050455,0.2139180216321577,0.1056198047050455,0.3025257674282186,0,0.0,,,0.2066859198102746,0
HIST2H3A,Histone H3.2 OS=Homo sapiens GN=HIST2H3A PE=1 SV=3,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.13809699003936,0.4770652572006288,0.13809699003936,0.6746721568701382,1,0.5,,,0.2330006433671217,0
HECW1,E3 ubiquitin-protein ligase HECW1 OS=Homo sapiens GN=HECW1 PE=1 SV=3,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0782107833064802,0.0835658436497026,-0.0782107833064802,0.118179949440559,0,0.0,,,0.1936507020120291,0
PARS2,"Probable proline--tRNA ligase, mitochondrial OS=Homo sapiens GN=PARS2 PE=1 SV=1",Unknown,Unknown,2,2,0.5,DOWN,1,1,0.5446581019943054,0.7598531895240482,0.5446581019943054,1.074594686037363,1,0.5,,,0.2612794365994637,0
KDM3B,Lysine-specific demethylase 3B OS=Homo sapiens GN=KDM3B PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0601404579666141,0.4000767699464618,0.0601404579666141,0.5657939940487069,0,0.0,,,0.225301794641705,0
MICAL3,Protein-methionine sulfoxide oxidase MICAL3 OS=Homo sapiens GN=MICAL3 PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0262391438889051,0.1822069613563557,-0.0262391438889051,0.2576795559089486,0,0.0,,,0.2035148137826944,0
KRT25,"Keratin, type I cytoskeletal 25 OS=Homo sapiens GN=KRT25 PE=1 SV=1",Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0416833174899586,0.0771367252803785,-0.0416833174899586,0.1090878030485589,0,0.0,,,0.1930077901750966,0
TMC6,Transmembrane channel-like protein 6 OS=Homo sapiens GN=TMC6 PE=2 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1729245299088535,0.2190554918586142,0.1729245299088535,0.3097912474987613,0,0.0,,,0.2071996668329202,0
THAP5,THAP domain-containing protein 5 OS=Homo sapiens GN=THAP5 PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0654102382829535,0.1547750609284116,-0.0654102382829535,0.2188849902820818,0,0.0,,,0.2007716237398999,0
KRT77,"Keratin, type II cytoskeletal 1b OS=Homo sapiens GN=KRT77 PE=2 SV=3",Unknown,Unknown,2,2,0.5,DOWN,1,1,0.3824821987104129,0.4530835768974665,0.3824821987104129,0.6407569393369102,1,0.5,,,0.2306024753368055,0
CENPV,Centromere protein V OS=Homo sapiens GN=CENPV PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.6326353551829921,0.8574018881843773,-0.6326353551829921,1.2125493786746464,1,0.5,,,0.2710343064654966,0
SYT9,Synaptotagmin-9 OS=Homo sapiens GN=SYT9 PE=2 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1039067817315742,0.2083275242922126,0.1039067817315742,0.2946196102696575,0,0.0,,,0.2061268700762801,0
GLRX5,"Glutaredoxin-related protein 5, mitochondrial OS=Homo sapiens GN=GLRX5 PE=1 SV=2",Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0931650718050741,0.156235621568408,0.0931650718050741,0.2209505349478331,0,0.0,,,0.2009176798038996,0
PABPN1,Polyadenylate-binding protein 2 OS=Homo sapiens GN=PABPN1 PE=1 SV=3,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1937365850966327,0.2424793987879875,0.1937365850966327,0.3429176543620461,0,0.0,,,0.2095420575258575,0
OAF,Out at first protein homolog OS=Homo sapiens GN=OAF PE=2 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0397431219242519,0.1351089810243999,0.0397431219242519,0.1910729533631155,0,0.0,,,0.1988050157494988,0
MAGI2,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2 OS=Homo sapiens GN=MAGI2 PE=1 SV=3",Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.3779579720734549,0.5234569197919503,-0.3779579720734549,0.7402798752878216,1,0.5,,,0.2376398096262538,0
CAND1,Cullin-associated NEDD8-dissociated protein 1 OS=Homo sapiens GN=CAND1 PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0698841355396483,1.0166663808786325,0.0698841355396483,1.4377833842473329,2,1.0,,,0.2869607557349221,0
COMTD1,Catechol O-methyltransferase domain-containing protein 1 OS=Homo sapiens GN=COMTD1 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.1253515573049735,0.1758276828898179,-0.1253515573049735,0.2486578937834163,0,0.0,,,0.2028768859360406,0
BPHL,Valacyclovir hydrolase OS=Homo sapiens GN=BPHL PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.022946248063582,0.1757964479370294,-0.022946248063582,0.2486137208895626,0,0.0,,,0.2028737624407617,0
LDHD,"Probable D-lactate dehydrogenase, mitochondrial OS=Homo sapiens GN=LDHD PE=1 SV=1",Unknown,Unknown,2,2,0.5,DOWN,1,1,0.3089626419624024,0.4362467155649558,0.3089626419624024,0.6169460216926785,1,0.5,,,0.2289187892035544,0
HOGA1,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial OS=Homo sapiens GN=HOGA1 PE=1 SV=1",Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.1308484626360011,0.1366694832394718,-0.1308484626360011,0.1932798367597835,0,0.0,,,0.198961065971006,0
KRT73,"Keratin, type II cytoskeletal 73 OS=Homo sapiens GN=KRT73 PE=1 SV=1",Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.1182379423504047,0.3760071832870985,-0.1182379423504047,0.5317544581543209,0,0.0,,,0.2228948359757687,0
